Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
South Warren,Warren East,02/24/20,19,South Warren,1,60,41,233,258,1
Barren County,Monroe County,02/24/20,14,Neutral,2,54,40,12,176,1
Clinton County,Metcalfe County,02/24/20,7,Neutral,2,54,47,54,173,1
John Hardin,North Hardin,02/24/20,28,John Hardin,1,77,49,133,187,1
Bethlehem,Washington County,02/24/20,9,Neutral,2,82,73,20,259,1
Valley,Beth Haven,02/24/20,13,Valley,1,72,59,252,19,1
Western,Iroquois,02/24/20,20,Neutral,2,74,54,264,128,1
Moore,Evangel Christian,02/24/20,43,Moore,1,88,45,178,83,1
Portland Christian,St. Francis,02/24/20,8,Neutral,2,63,55,208,237,1
Seneca,Atherton,02/24/20,29,Neutral,2,76,47,225,6,1
Trinity (Louisville),Waggener,02/24/20,2,Trinity (Louisville),1,52,50,248,254,1
Kentucky Country Day,Walden,02/24/20,15,Neutral,2,58,43,136,255,1
Anderson County,Shelby County,02/24/20,3,Anderson County,1,43,40,3,227,1
Eminence,Owen County,02/24/20,3,Neutral,2,52,49,81,193,1
Grant County,Williamstown,02/24/20,36,Grant County,1,78,42,103,269,1
Boone County,Heritage Academy,02/24/20,56,Neutral,2,105,49,23,119,1
Ludlow,Villa Madonna,02/24/20,16,Neutral,2,68,52,154,253,1
Dayton,Bellevue,02/24/20,17,Neutral,2,64,47,69,17,1
Augusta,St. Patrick,02/24/20,23,Neutral,2,80,57,7,240,1
Frankfort,Frankfort Christian,02/24/20,56,Neutral,2,98,42,91,92,1
Frederick Douglass,Sayre,02/24/20,11,Neutral,2,80,69,95,222,1
Paul Laurence Dunbar,LaRue County,02/24/20,0.5,Neutral,2,68,65,200,141,1
Madison Central,Madison Southern,02/24/20,7,Neutral,2,53,46,157,158,1
Garrard County,Danville Christian,02/24/20,32,Neutral,2,74,42,100,66,1
West Jessamine,Burgin,02/24/20,46,Neutral,2,98,52,263,36,1
Red Bird,Oneida Baptist Institute,02/24/20,9,Neutral,2,71,62,213,192,1
Breathitt County,Jackson City,02/24/20,25,Breathitt County,1,73,48,29,129,1
Shelby Valley,Jenkins,02/24/20,53,Neutral,2,86,33,228,132,1
Ashland Blazer,Rose Hill Christian,02/24/20,43,Neutral,2,95,52,5,216,1
Fulton County,Fulton City,02/25/20,8,Neutral,2,56,48,98,97,1
Paducah Tilghman,St. Mary,02/25/20,21,Neutral,2,73,52,197,239,1
Mayfield,Ballard Memorial,02/25/20,29,Mayfield,1,77,48,166,9,1
Calloway County,Murray,02/25/20,12,Neutral,2,68,56,40,181,1
Crittenden County,Trigg County,02/25/20,2,Neutral,2,61,59,63,246,1
Lyon County,Livingston Central,02/25/20,25,Lyon County,1,101,76,156,150,1
Caldwell County,Hopkins County Central,02/25/20,18,Neutral,2,70,52,39,126,1
Madisonville-North Hopkins,Dawson Springs,02/25/20,26,Madisonville-North Hopkins,1,81,55,159,68,1
Christian County,Hopkinsville,02/25/20,1,Christian County,1,50,49,51,127,1
University Heights,Fort Campbell,02/25/20,22,Neutral,2,63,41,251,89,1
Owensboro,Daviess County,02/25/20,27,Neutral,2,68,41,194,67,1
McLean County,Ohio County,02/25/20,6,McLean County,1,53,47,169,190,1
Breckinridge County,Frederick Fraize,02/25/20,41,Neutral,2,71,30,30,96,1
Meade County,Hancock County,02/25/20,33,Meade County,1,72,39,170,110,1
Butler County,Trinity (Whitesville),02/25/20,7,Neutral,2,64,57,38,249,1
Grayson County,Edmonson County,02/25/20,11,Grayson County,1,73,62,105,78,1
Franklin-Simpson,Todd County Central,02/25/20,20,Neutral,2,83,63,94,245,1
Warren Central,South Warren,02/25/20,14,South Warren,0,70,56,257,233,1
Allen County-Scottsville,Glasgow,02/25/20,3,Allen County-Scottsville,1,51,48,2,102,1
Cumberland County,Russell County,02/25/20,0.5,Russell County,0,67,61,64,219,1
Elizabethtown,Central Hardin,02/25/20,18,Neutral,2,76,58,79,49,1
Lafayette,Caverna,02/25/20,18,Neutral,2,76,58,140,47,1
Bardstown,Bethlehem,02/25/20,38,Neutral,2,74,36,11,20,1
Pleasure Ridge Park,Valley,02/25/20,40,Valley,0,89,49,207,252,1
Butler,Doss,02/25/20,17,Neutral,2,69,52,37,72,1
Western,DeSales,02/25/20,9,Neutral,2,59,50,264,70,1
Male,Brown,02/25/20,77,Neutral,2,112,35,161,31,1
St. Xavier,Louisville Collegiate,02/25/20,25,St. Xavier,1,84,59,241,153,1
Ballard,Kentucky Country Day,02/25/20,57,Neutral,2,99,42,8,136,1
Eastern,Christian Academy-Louisville,02/25/20,23,Christian Academy-Louisville,0,78,55,77,50,1
Oldham County,Trimble County,02/25/20,51,Neutral,2,92,41,191,247,1
Collins,Anderson County,02/25/20,17,Anderson County,0,48,31,55,3,1
Simon Kenton,Walton-Verona,02/25/20,21,Neutral,2,78,57,229,256,1
Covington Catholic,Holy Cross (Covington),02/25/20,16,Neutral,2,79,63,61,124,1
Bishop Brossart,Scott,02/25/20,3,Neutral,2,59,56,22,223,1
Campbell County,Calvary Christian,02/25/20,27,Neutral,2,81,54,42,41,1
Pendleton County,Harrison County,02/25/20,2,Neutral,2,44,42,201,113,1
Robertson County,Nicholas County,02/25/20,19,Nicholas County,0,63,44,214,185,1
Mason County,Bracken County,02/25/20,4,Bracken County,0,54,50,165,28,1
George Rogers Clark,Paris,02/25/20,13,George Rogers Clark,1,62,49,101,199,1
Montgomery County,Bourbon County,02/25/20,0.5,Neutral,2,69,63,177,24,1
Frankfort,Great Crossing,02/25/20,0.5,Neutral,2,73,70,91,106,1
Frederick Douglass,Henry Clay,02/25/20,0.5,Neutral,2,108,104,95,117,1
Tates Creek,Lexington Christian,02/25/20,1,Tates Creek,1,55,54,242,148,1
Berea,Model,02/25/20,7,Neutral,2,60,53,18,175,1
Danville,Kentucky School f/t Deaf,02/25/20,53,Neutral,2,87,34,65,137,1
East Jessamine,Mercer County,02/25/20,17,East Jessamine,1,59,42,75,172,1
Pulaski County,Rockcastle County,02/25/20,30,Rockcastle County,0,75,45,211,215,1
Somerset,Casey County,02/25/20,20,Neutral,2,60,40,230,46,1
Southwestern,McCreary Central,02/25/20,3,Southwestern,1,48,45,235,168,1
North Laurel,Jackson County,02/25/20,30,Jackson County,0,81,51,188,130,1
Corbin,Williamsburg,02/25/20,40,Neutral,2,90,50,59,268,1
South Laurel,Whitley County,02/25/20,15,Whitley County,0,67,52,231,267,1
Knox Central,Pineville,02/25/20,9,Neutral,2,60,51,139,206,1
Harlan,Middlesboro,02/25/20,0.5,Neutral,2,67,65,111,174,1
Harlan County,Bell County,02/25/20,6,Harlan County,1,42,36,112,16,1
Letcher County Central,Cordia,02/25/20,3,Neutral,2,50,47,145,60,1
Hazard,Leslie County,02/25/20,36,Leslie County,0,72,36,115,144,1
Estill County,Lee County,02/25/20,16,Neutral,2,61,45,82,143,1
Owsley County,Powell County,02/25/20,2,Powell County,0,55,53,196,209,1
Martin County,Magoffin County,02/25/20,18,Martin County,1,64,46,164,160,1
Lawrence County,Floyd Central,02/25/20,19,Neutral,2,77,58,142,88,1
Prestonsburg,Betsy Layne,02/25/20,0.5,Prestonsburg,1,56,54,210,21,1
Pikeville,East Ridge,02/25/20,0.5,Neutral,2,68,67,205,76,1
Belfry,Pike County Central,02/25/20,34,Belfry,1,70,36,15,204,1
Bath County,Fleming County,02/25/20,10,Bath County,1,68,58,13,87,1
Rowan County,Menifee County,02/25/20,9,Neutral,2,81,72,217,171,1
West Carter,Morgan County,02/25/20,3,Neutral,2,60,57,262,179,1
Lewis County,Greenup County,02/25/20,20,Greenup County,0,79,59,146,108,1
Boyd County,Fairview,02/25/20,26,Neutral,2,79,53,26,85,1
Owensboro Catholic,Apollo,02/26/20,19,Neutral,2,69,50,195,4,1
Bowling Green,Greenwood,02/26/20,14,Neutral,2,77,63,25,109,1
Hart County,Green County,02/26/20,8,Green County,0,64,56,114,107,1
Nelson County,Thomas Nelson,02/26/20,5,Nelson County,1,47,42,182,244,1
Marion County,Taylor County,02/26/20,13,Taylor County,0,66,53,162,243,1
Fairdale,Holy Cross (Louisville),02/26/20,19,Neutral,2,75,56,84,125,1
Bullitt Central,Southern,02/26/20,12,Neutral,2,75,63,34,234,1
North Bullitt,Moore,02/26/20,14,Moore,0,84,70,186,178,1
Fern Creek,Whitefield Academy,02/26/20,47,Neutral,2,78,31,86,266,1
Jeffersontown,Bullitt East,02/26/20,15,Neutral,2,62,47,131,35,1
Central,Shawnee,02/26/20,13,Central,1,41,28,48,226,1
DuPont Manual,Portland Christian,02/26/20,57,Neutral,2,87,30,73,208,1
South Oldham,North Oldham,02/26/20,3,Neutral,2,77,74,232,189,1
Woodford County,Spencer County,02/26/20,10,Neutral,2,58,48,271,236,1
Gallatin County,Eminence,02/26/20,38,Gallatin County,1,67,29,99,81,1
Henry County,Carroll County,02/26/20,12,Neutral,2,55,43,118,45,1
Conner,Boone County,02/26/20,14,Conner,1,70,56,57,23,1
Cooper,Ryle,02/26/20,3,Neutral,2,47,44,58,221,1
Dixie Heights,Lloyd Memorial,02/26/20,22,Dixie Heights,1,71,49,71,151,1
St. Henry,Ludlow,02/26/20,48,Neutral,2,80,32,238,154,1
Beechwood,Holmes,02/26/20,14,Beechwood,1,66,52,14,123,1
Highlands,Dayton,02/26/20,48,Neutral,2,72,24,121,69,1
Newport,Newport Central Catholic,02/26/20,9,Newport,1,53,44,183,184,1
Franklin County,Western Hills,02/26/20,23,Franklin County,1,61,38,93,265,1
Scott County,Bryan Station,02/26/20,0.5,Scott County,1,64,63,224,32,1
Lexington Catholic,Paul Laurence Dunbar,02/26/20,27,Neutral,2,81,54,147,200,1
Lincoln County,Garrard County,02/26/20,24,Lincoln County,1,56,32,149,100,1
Clay County,Red Bird,02/26/20,36,Neutral,2,90,54,53,213,1
Barbourville,Lynn Camp,02/26/20,12,Lynn Camp,0,70,58,10,155,1
Perry County Central,Buckhorn,02/26/20,15,Neutral,2,76,61,202,33,1
Paintsville,Johnson Central,02/26/20,13,Neutral,2,82,69,198,134,1
East Carter,Elliott County,02/26/20,2,Elliott County,0,48,46,74,80,1
Russell,Raceland,02/26/20,14,Neutral,2,61,47,218,212,1
Mayfield,Graves County,02/27/20,10,Mayfield,1,46,36,166,104,1
Marshall County,Calloway County,02/27/20,2,Marshall County,1,45,43,163,40,1
Webster County,Henderson County,02/27/20,6,Webster County,1,62,56,261,116,1
Christian County,University Heights,02/27/20,22,Christian County,1,81,59,51,251,1
Muhlenberg County,McLean County,02/27/20,10,McLean County,0,70,60,180,169,1
John Hardin,Elizabethtown,02/27/20,21,John Hardin,1,66,45,133,79,1
Campbellsville,Adair County,02/27/20,5,Neutral,2,48,43,43,1,1
Butler,Western,02/27/20,24,Neutral,2,77,53,37,264,1
Male,St. Xavier,02/27/20,13,St. Xavier,0,80,67,161,241,1
Trinity (Louisville),Seneca,02/27/20,3,Trinity (Louisville),1,43,40,248,225,1
Ballard,Eastern,02/27/20,12,Neutral,2,56,44,8,77,1
Campbell County,Bishop Brossart,02/27/20,9,Neutral,2,55,46,42,22,1
Robertson County,Pendleton County,02/27/20,15,Neutral,2,76,61,214,201,1
Mason County,Augusta,02/27/20,5,Neutral,2,61,56,165,7,1
George Rogers Clark,Montgomery County,02/27/20,9,George Rogers Clark,1,73,64,101,177,1
Danville,Boyle County,02/27/20,2,Neutral,2,53,51,65,27,1
Somerset,Pulaski County,02/27/20,11,Neutral,2,80,69,230,211,1
Pikeville,Shelby Valley,02/27/20,1,Neutral,2,51,50,205,228,1
Phelps,Belfry,02/27/20,9,Belfry,0,66,57,203,15,1
Rowan County,Bath County,02/27/20,10,Bath County,0,56,46,217,13,1
Ashland Blazer,Boyd County,02/27/20,7,Neutral,2,62,55,5,26,1
Carlisle County,Fulton County,02/28/20,9,Neutral,2,53,44,44,98,1
McCracken County,Paducah Tilghman,02/28/20,3,McCracken County,1,60,57,167,197,1
Lyon County,Crittenden County,02/28/20,13,Lyon County,1,78,65,156,63,1
Madisonville-North Hopkins,Caldwell County,02/28/20,27,Madisonville-North Hopkins,1,85,58,159,39,1
Owensboro,Owensboro Catholic,02/28/20,16,Neutral,2,66,50,194,195,1
Breckinridge County,Meade County,02/28/20,7,Meade County,0,74,67,30,170,1
Butler County,Grayson County,02/28/20,12,Grayson County,0,63,51,38,105,1
Logan County,Franklin-Simpson,02/28/20,7,Neutral,2,55,48,152,94,1
Bowling Green,Warren Central,02/28/20,6,Neutral,2,57,51,25,257,1
Barren County,Allen County-Scottsville,02/28/20,6,Allen County-Scottsville,0,71,65,12,2,1
Clinton County,Cumberland County,02/28/20,5,Neutral,2,66,61,54,64,1
Lafayette,Hart County,02/28/20,27,Neutral,2,72,45,140,114,1
Pleasure Ridge Park,Fairdale,02/28/20,12,Neutral,2,85,73,207,84,1
North Bullitt,Bullitt Central,02/28/20,8,Neutral,2,76,68,186,34,1
Fern Creek,Jeffersontown,02/28/20,6,Neutral,2,49,43,86,131,1
Central,DuPont Manual,02/28/20,0.5,Central,1,57,55,48,73,1
Oldham County,South Oldham,02/28/20,3,Neutral,2,88,85,191,232,1
Collins,Woodford County,02/28/20,22,Neutral,2,65,43,55,271,1
Simon Kenton,Grant County,02/28/20,4,Grant County,0,55,51,229,103,1
Conner,Cooper,02/28/20,5,Conner,1,52,47,57,58,1
St. Henry,Dixie Heights,02/28/20,5,Dixie Heights,0,55,50,238,71,1
Covington Catholic,Beechwood,02/28/20,11,Beechwood,0,63,52,61,14,1
Highlands,Newport,02/28/20,26,Newport,0,75,49,121,183,1
Frankfort,Franklin County,02/28/20,3,Franklin County,0,52,49,91,93,1
Frederick Douglass,Scott County,02/28/20,3,Scott County,0,78,75,95,224,1
Lexington Catholic,Tates Creek,02/28/20,20,Tates Creek,0,72,52,147,242,1
Madison Central,Berea,02/28/20,30,Neutral,2,70,40,157,18,1
Lincoln County,Danville,02/28/20,11,Lincoln County,1,61,50,149,65,1
West Jessamine,East Jessamine,02/28/20,10,East Jessamine,0,63,53,263,75,1
Wayne County,Southwestern,02/28/20,1,Southwestern,0,77,76,260,235,1
Clay County,North Laurel,02/28/20,5,Neutral,2,69,64,53,188,1
South Laurel,Corbin,02/28/20,3,Neutral,2,54,51,231,59,1
Knox Central,Barbourville,02/28/20,35,Neutral,2,89,54,139,10,1
Harlan County,Harlan,02/28/20,4,Harlan County,1,58,54,112,111,1
Letcher County Central,Knott County Central,02/28/20,1,Neutral,2,45,44,145,138,1
Hazard,Perry County Central,02/28/20,3,Neutral,2,40,37,115,202,1
Wolfe County,Breathitt County,02/28/20,2,Breathitt County,0,62,60,270,29,1
Estill County,Owsley County,02/28/20,9,Neutral,2,54,45,82,196,1
Martin County,Paintsville,02/28/20,15,Martin County,1,56,41,164,198,1
Lawrence County,Prestonsburg,02/28/20,17,Prestonsburg,0,71,54,142,210,1
West Carter,East Carter,02/28/20,18,Neutral,2,71,53,262,74,1
Lewis County,Russell,02/28/20,9,Neutral,2,68,59,146,218,1
Bardstown,Nelson County,02/29/20,7,Nelson County,0,73,66,11,182,1
Marion County,Campbellsville,02/29/20,20,Neutral,2,77,57,162,43,1
Gallatin County,Henry County,02/29/20,16,Gallatin County,1,64,48,99,118,1
Bowling Green,Allen County-Scottsville,03/03/20,32,Neutral,2,78,46,25,2,2
Logan County,Cumberland County,03/03/20,21,Neutral,2,79,58,152,64,2
Fern Creek,Bullitt Central,03/03/20,42,Fern Creek,1,80,38,86,34,2
Jeffersontown,Butler,03/03/20,4,Butler,0,51,47,131,37,2
North Bullitt,Fairdale,03/03/20,15,North Bullitt,1,78,63,186,84,2
Pleasure Ridge Park,Western,03/03/20,16,Pleasure Ridge Park,1,86,70,207,264,2
Ballard,DuPont Manual,03/03/20,42,Ballard,1,92,50,8,73,2
Eastern,Central,03/03/20,17,Central,0,55,38,77,48,2
Male,Seneca,03/03/20,31,Male,1,84,53,161,225,2
St. Xavier,Trinity (Louisville),03/03/20,11,Trinity (Louisville),0,58,47,241,248,2
Frederick Douglass,Berea,03/03/20,41,Frederick Douglass,1,73,32,95,18,2
Lexington Catholic,Franklin County,03/03/20,28,Lexington Catholic,1,77,49,147,93,2
Scott County,Frankfort,03/03/20,13,Frankfort,0,71,58,224,91,2
Tates Creek,Madison Central,03/03/20,2,Madison Central,0,57,55,242,157,2
Marshall County,Graves County,03/04/20,34,Neutral,2,79,45,163,104,2
Paducah Tilghman,Carlisle County,03/04/20,7,Neutral,2,65,58,197,44,2
Christian County,Crittenden County,03/04/20,21,Neutral,2,77,56,51,63,2
Madisonville-North Hopkins,Henderson County,03/04/20,20,Neutral,2,67,47,159,116,2
McLean County,Breckinridge County,03/04/20,6,Neutral,2,52,46,169,30,2
Owensboro Catholic,Butler County,03/04/20,16,Neutral,2,77,61,195,38,2
Clinton County,Franklin-Simpson,03/04/20,11,Neutral,2,53,42,54,94,2
Warren Central,Barren County,03/04/20,28,Neutral,2,77,49,257,12,2
Elizabethtown,Marion County,03/04/20,22,Neutral,2,81,59,79,162,2
Lafayette,Nelson County,03/04/20,26,Neutral,2,55,29,140,182,2
Collins,Henry County,03/04/20,22,Henry County,0,79,57,55,118,2
South Oldham,Simon Kenton,03/04/20,8,Neutral,2,83,75,232,229,2
Bishop Brossart,Robertson County,03/04/20,0.5,Neutral,2,58,54,22,214,2
George Rogers Clark,Augusta,03/04/20,40,George Rogers Clark,1,81,41,101,7,2
Pulaski County,Lincoln County,03/04/20,13,Pulaski County,1,62,49,211,149,2
West Jessamine,Southwestern,03/04/20,28,Neutral,2,84,56,263,235,2
Clay County,Barbourville,03/04/20,12,Neutral,2,80,68,53,10,2
Harlan County,Corbin,03/04/20,16,Neutral,2,74,58,112,59,2
Knott County Central,Estill County,03/04/20,1,Knott County Central,1,45,44,138,82,2
Wolfe County,Perry County Central,03/04/20,15,Neutral,2,73,58,270,202,2
Martin County,Prestonsburg,03/04/20,26,Neutral,2,77,51,164,210,2
Pikeville,Belfry,03/04/20,27,Neutral,2,90,63,205,15,2
Boyd County,West Carter,03/04/20,16,Neutral,2,76,60,26,262,2
Lewis County,Bath County,03/04/20,13,Neutral,2,66,53,146,13,2
Mayfield,Fulton County,03/05/20,6,Neutral,2,62,56,166,98,2
McCracken County,Calloway County,03/05/20,17,Neutral,2,48,31,167,40,2
Lyon County,Caldwell County,03/05/20,6,Neutral,2,65,59,156,39,2
Webster County,University Heights,03/05/20,9,Neutral,2,88,79,261,251,2
Muhlenberg County,Grayson County,03/05/20,20,Neutral,2,59,39,180,105,2
Owensboro,Meade County,03/05/20,39,Neutral,2,85,46,194,170,2
Bardstown,Hart County,03/05/20,26,Neutral,2,85,59,11,114,2
John Hardin,Campbellsville,03/05/20,16,Neutral,2,72,56,133,43,2
Grant County,Gallatin County,03/05/20,6,Neutral,2,77,71,103,99,2
Oldham County,Woodford County,03/05/20,6,Neutral,2,59,53,191,271,2
Campbell County,Pendleton County,03/05/20,15,Neutral,2,48,33,42,201,2
Montgomery County,Mason County,03/05/20,1,Neutral,2,52,51,177,165,2
Lexington Catholic,Frederick Douglass,03/05/20,11,Neutral,2,65,54,147,95,2
Scott County,Tates Creek,03/05/20,21,Neutral,2,64,43,224,242,2
Danville,Wayne County,03/05/20,10,Neutral,2,70,60,65,260,2
Somerset,East Jessamine,03/05/20,11,Neutral,2,77,66,230,75,2
Knox Central,North Laurel,03/05/20,2,Neutral,2,66,64,139,188,2
South Laurel,Harlan,03/05/20,2,Neutral,2,54,52,231,111,2
Hazard,Breathitt County,03/05/20,12,Neutral,2,59,47,115,29,2
Letcher County Central,Owsley County,03/05/20,11,Neutral,2,73,62,145,196,2
Lawrence County,Paintsville,03/05/20,9,Neutral,2,81,72,142,198,2
Shelby Valley,Phelps,03/05/20,16,Neutral,2,69,53,228,203,2
Ashland Blazer,Russell,03/05/20,20,Neutral,2,61,41,5,218,2
Rowan County,East Carter,03/05/20,20,Neutral,2,56,36,217,74,2
Fern Creek,Pleasure Ridge Park,03/06/20,16,Neutral,2,66,50,86,207,2
Jeffersontown,North Bullitt,03/06/20,12,Neutral,2,73,61,131,186,2
Marshall County,Paducah Tilghman,03/07/20,9,Neutral,2,67,58,163,197,2
McCracken County,Mayfield,03/07/20,24,Neutral,2,73,49,167,166,2
Owensboro,Muhlenberg County,03/07/20,11,Neutral,2,56,45,194,180,2
Owensboro Catholic,McLean County,03/07/20,17,Neutral,2,57,40,195,169,2
Ballard,St. Xavier,03/07/20,24,Neutral,2,79,55,8,241,2
Male,Eastern,03/07/20,7,Neutral,2,59,52,161,77,2
Conner,Beechwood,03/07/20,19,Neutral,2,78,59,57,14,2
Covington Catholic,Newport,03/07/20,27,Neutral,2,63,36,61,183,2
Highlands,Dixie Heights,03/07/20,14,Neutral,2,72,58,121,71,2
St. Henry,Cooper,03/07/20,3,Neutral,2,58,55,238,58,2
Scott County,Lexington Catholic,03/07/20,3,Neutral,2,65,62,224,147,2
Harlan County,Clay County,03/07/20,7,Neutral,2,65,58,112,53,2
Knox Central,South Laurel,03/07/20,3,Neutral,2,65,62,139,231,2
Lawrence County,Shelby Valley,03/07/20,2,Neutral,2,63,61,142,228,2
Martin County,Pikeville,03/07/20,0.5,Neutral,2,62,59,164,205,2
McCracken County,Marshall County,03/08/20,1,Neutral,2,43,42,167,163,2
Bardstown,John Hardin,03/08/20,0.5,Neutral,2,71,63,11,133,2
Elizabethtown,Lafayette,03/08/20,30,Neutral,2,78,48,79,140,2
Hazard,Letcher County Central,03/08/20,27,Neutral,2,65,38,115,145,2
Wolfe County,Knott County Central,03/08/20,10,Knott County Central,0,74,64,270,138,2
Madisonville-North Hopkins,Christian County,03/09/20,3,Neutral,2,64,61,159,51,2
Webster County,Lyon County,03/09/20,12,Neutral,2,79,67,261,156,2
Bowling Green,Logan County,03/09/20,12,Neutral,2,64,52,25,152,2
Warren Central,Clinton County,03/09/20,11,Neutral,2,58,47,257,54,2
Fern Creek,Jeffersontown,03/09/20,5,Neutral,2,48,43,86,131,2
Collins,South Oldham,03/09/20,14,Neutral,2,81,67,55,232,2
Oldham County,Grant County,03/09/20,3,Neutral,2,53,50,191,103,2
Covington Catholic,St. Henry,03/09/20,23,Neutral,2,74,51,61,238,2
Highlands,Conner,03/09/20,17,Neutral,2,66,49,121,57,2
George Rogers Clark,Bishop Brossart,03/09/20,13,George Rogers Clark,1,58,45,101,22,2
Montgomery County,Campbell County,03/09/20,17,Neutral,2,76,59,177,42,2
Danville,Somerset,03/09/20,2,Neutral,2,66,64,65,230,2
West Jessamine,Pulaski County,03/09/20,14,Pulaski County,0,82,68,263,211,2
Knox Central,Harlan County,03/09/20,4,Neutral,2,72,68,139,112,2
Martin County,Lawrence County,03/09/20,4,Neutral,2,65,61,164,142,2
Ashland Blazer,Rowan County,03/09/20,28,Neutral,2,67,39,5,217,2
Lewis County,Boyd County,03/09/20,5,Neutral,2,70,65,146,26,2
Madisonville-North Hopkins,Webster County,03/10/20,15,Neutral,2,73,58,159,261,2
Owensboro Catholic,Owensboro,03/10/20,11,Neutral,2,56,45,195,194,2
Warren Central,Bowling Green,03/10/20,11,Neutral,2,53,42,257,25,2
Elizabethtown,Bardstown,03/10/20,2,Neutral,2,74,72,79,11,2
Male,Ballard,03/10/20,10,Neutral,2,71,61,161,8,2
Collins,Oldham County,03/10/20,8,Neutral,2,61,53,55,191,2
Covington Catholic,Highlands,03/10/20,5,Neutral,2,59,54,61,121,2
George Rogers Clark,Montgomery County,03/10/20,3,George Rogers Clark,1,53,50,101,177,2
West Jessamine,Danville,03/10/20,14,Neutral,2,78,64,263,65,2
Hazard,Wolfe County,03/10/20,0.5,Neutral,2,57,51,115,270,2
Ashland Blazer,Lewis County,03/10/20,24,Neutral,2,84,60,5,146,2
